사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-02,2호선,0214,강변(동서울터미널),13,0,"7,830","2,514","23,952","19,455","76,747","22,373","115,918","45,547","81,896","40,934","56,134","36,281","49,987","35,752","51,578","42,091","51,258","45,672","48,051","49,074","47,719","54,453","49,759","61,660","55,251","72,870","63,321","116,038","49,264","89,818","38,219","57,624","31,091","47,129","21,638","45,490","8,668","25,476","1,492","6,699",2,14,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0215,잠실나루,3,0,"2,695","1,476","9,136","9,152","33,278","18,554","46,410","33,263","25,763","23,618","18,528","16,126","18,293","13,588","17,608","16,563","17,978","17,753","18,731","15,651","19,696","14,774","22,878","14,904","28,333","19,564","28,113","35,337","15,440","29,847","11,117","16,948","8,461","14,945","5,591","14,576","2,693","9,101",443,"2,717",1,5,0,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0216,잠실(송파구청),76,3,"11,232","5,322","41,227","30,754","104,114","71,889","160,620","170,101","116,517","145,158","70,154","82,216","65,756","76,975","71,980","79,869","81,493","86,479","81,520","83,638","88,950","89,664","102,506","101,922","140,068","121,934","217,698","198,563","139,941","144,962","123,683","83,580","102,610","75,513","82,378","73,709","29,046","41,957","3,585","8,822",1,1,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0217,잠실새내,26,1,"4,703",916,"13,918","7,128","48,936","12,739","72,639","25,331","41,697","28,958","24,784","21,350","23,066","22,032","26,017","22,870","27,648","27,532","25,086","28,849","26,609","29,331","28,847","33,631","32,138","47,059","37,547","79,548","28,870","63,090","24,676","33,618","25,866","28,782","24,452","27,180","15,213","15,064","2,472","5,006",0,0,0,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0218,종합운동장,9,0,"1,601","1,396","5,161","5,376","15,639","9,591","23,342","20,661","16,761","11,824","9,651","8,320","8,802","6,687","9,298","7,904","9,890","9,270","12,211","10,022","10,410","9,523","9,825","11,429","12,666","13,721","16,559","23,639","9,195","18,154","5,561","10,109","6,260","9,722","3,410","9,976","1,662","5,865",246,"1,815",1,58,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0219,삼성(무역센터),159,0,"4,936","4,639","7,289","39,661","15,536","111,029","21,154","321,630","20,400","228,548","20,557","96,508","28,693","68,778","35,955","60,527","47,923","67,683","58,405","60,029","72,836","51,419","90,290","50,001","154,422","49,462","287,704","60,145","171,022","38,517","114,274","17,862","93,994","14,234","68,963","11,997","19,336","6,701","2,753","4,377",1,"1,457",0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0220,선릉,104,3,"5,159","6,330","10,198","37,088","19,022","98,963","30,662","285,107","28,649","207,953","29,287","91,863","38,866","58,054","47,236","50,842","57,356","61,331","64,585","51,099","83,934","45,150","116,074","42,388","156,920","45,392","285,470","53,494","145,841","37,176","88,415","21,000","85,115","17,319","66,582","15,291","27,356","9,519","4,515","4,506",0,26,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0221,역삼,42,4,"3,707","7,810","7,869","37,575","13,564","119,135","25,227","336,794","22,585","256,935","22,010","105,416","29,327","60,748","36,389","51,392","46,396","62,720","52,407","51,845","68,374","45,393","85,219","40,449","164,553","44,986","271,822","54,521","144,055","40,257","84,234","21,611","81,485","16,805","60,058","13,529","22,673","9,270","4,098","3,185",0,8,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0222,강남,269,10,"12,319","12,335","20,867","51,497","39,799","140,626","64,280","329,418","51,821","355,375","50,719","162,993","69,595","121,563","92,295","121,877","118,413","149,943","119,012","125,617","145,118","114,828","164,271","113,411","227,431","138,712","343,134","200,285","222,579","143,992","170,887","65,706","202,537","47,931","200,247","39,921","91,420","26,594","16,449","7,435",2,51,1,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0223,교대(법원.검찰청),13,2,"2,620","7,293","12,068","24,002","23,833","48,632","35,992","146,870","28,014","131,957","23,826","65,010","28,057","50,057","32,332","46,583","40,581","54,207","45,982","50,386","52,300","44,310","55,865","43,207","85,326","50,457","141,922","71,506","67,816","47,616","50,579","24,716","56,866","20,713","47,558","19,065","19,479","11,340","4,259","3,260",1,2,0,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0224,서초,21,0,"1,119","4,658","6,224","19,280","12,683","41,945","21,949","113,827","23,075","93,316","16,323","39,910","22,182","29,063","21,704","22,562","29,079","25,570","29,123","25,549","33,980","19,799","38,299","19,782","61,033","20,118","100,816","23,280","47,858","16,781","28,936","9,396","30,002","8,251","20,685","7,885","6,580","4,579",867,"1,373",0,0,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0225,방배,13,0,"2,552","3,246","8,680","12,277","20,037","23,311","31,157","69,537","24,401","42,108","16,543","20,822","15,806","16,884","17,635","17,520","20,667","20,456","20,286","20,133","22,964","19,479","26,606","19,913","37,062","24,591","65,583","34,950","28,697","29,226","19,501","17,888","19,892","16,105","16,315","16,116","7,338","9,605","1,458","3,116",2,5,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0226,사당,199,12,"12,346","3,175","21,499","29,187","67,895","37,760","92,858","62,427","68,199","47,040","40,174","36,058","36,028","38,050","42,854","39,469","46,156","45,228","45,304","45,372","47,569","53,419","50,359","69,368","63,782","92,061","88,555","146,578","61,812","117,613","51,816","64,080","58,511","57,080","58,268","55,335","34,977","35,586","5,976","11,409",3,701,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0227,낙성대,41,2,"10,642","1,751","23,031","8,978","74,340","15,480","121,240","36,177","77,010","31,002","37,588","23,169","30,698","20,383","34,449","23,656","34,995","25,966","31,030","28,208","30,606","31,254","33,195","35,712","39,540","48,722","48,664","88,228","27,736","86,098","21,077","51,883","19,543","47,847","16,165","48,715","9,025","31,564","1,644","8,850",0,69,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0228,서울대입구(관악구청),"3,808",22,"26,490","2,590","38,129","13,652","120,359","23,343","177,619","56,016","116,945","59,605","61,561","45,085","53,043","41,419","58,005","48,437","64,393","55,387","57,679","55,356","58,672","62,430","64,476","70,331","72,827","92,466","88,021","159,318","56,957","151,115","46,966","86,512","47,765","77,164","45,300","76,742","23,750","48,786","3,914","18,814",2,"3,908",0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0229,봉천,56,0,"13,383","1,588","25,978","7,408","76,084","10,578","116,972","24,700","68,291","20,781","35,169","18,825","27,948","18,750","31,069","19,425","31,034","23,638","26,247","24,674","26,387","31,675","26,820","34,147","29,141","46,858","33,793","79,152","20,553","71,966","15,450","43,695","14,296","40,378","10,681","38,697","4,922","23,421",864,"7,503",1,195,1,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0230,신림,214,10,"37,118","4,487","71,824","19,796","198,521","30,156","307,436","59,754","179,859","50,259","89,829","42,732","73,194","44,162","78,631","50,054","78,225","59,104","69,073","66,060","67,956","80,479","72,329","95,514","79,610","130,298","90,270","234,366","63,338","229,710","50,472","136,512","49,489","125,151","45,922","119,835","27,399","81,195","4,665","24,560",1,286,1,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0231,신대방,100,0,"20,971","2,155","32,757","9,070","84,330","16,240","126,858","32,763","74,809","21,736","38,377","16,767","29,979","16,287","31,565","18,844","31,727","22,625","27,506","24,830","26,470","32,954","28,083","37,187","31,942","52,033","40,721","83,770","23,603","80,854","16,942","50,914","13,431","52,826","10,372","54,494","5,399","31,029",974,"8,513",0,68,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0232,구로디지털단지,216,4,"35,640","6,090","47,821","20,847","131,602","67,158","179,576","247,967","110,055","153,423","60,664","55,291","52,762","44,748","59,113","45,176","63,525","54,754","57,244","55,453","60,371","62,662","70,285","67,745","110,749","98,049","220,856","152,634","119,014","139,804","68,562","83,867","55,561","80,168","46,085","82,247","22,270","49,913","3,353","13,016",0,112,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0233,대림(구로구청),495,6,"29,723","3,383","28,022","10,865","60,953","18,775","91,112","52,806","61,407","33,559","32,066","25,438","26,169","24,187","28,651","23,756","29,364","27,018","26,841","27,337","26,514","33,797","30,120","36,466","37,775","52,953","52,740","64,154","28,097","54,043","18,505","35,723","14,755","45,076","10,037","46,211","5,396","22,673",760,"5,823",0,154,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0234,신도림,"2,954",17,"31,903","5,111","46,142","16,859","128,282","37,347","134,346","114,430","83,324","70,384","51,808","61,108","50,063","54,212","59,885","58,485","65,032","63,677","63,893","61,220","66,062","65,488","72,993","73,792","91,734","92,585","134,644","158,104","78,054","133,897","63,798","73,758","62,976","64,916","45,276","65,679","21,146","47,350","2,554","20,727",3,"2,744",0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0235,문래,6,0,"3,258","1,635","9,898","9,389","38,330","28,443","41,545","118,529","23,297","53,263","16,293","21,305","15,787","17,376","17,319","17,821","20,418","19,999","20,602","18,872","21,917","18,523","26,571","20,155","44,795","25,937","97,247","45,050","36,953","37,129","23,704","19,555","23,157","17,029","17,980","15,605","8,547","9,713","1,305","3,365",0,55,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0236,영등포구청,26,2,"4,893","2,567","11,234","10,853","39,192","30,995","46,266","116,861","27,681","50,479","20,058","24,605","20,294","21,829","22,294","21,588","25,244","25,012","25,236","23,019","26,498","23,650","30,445","24,577","45,684","30,211","100,615","50,921","37,554","38,555","26,253","21,397","25,009","19,318","20,571","18,065","8,902","12,315","1,397","4,410",1,58,0,0,0,0,2020-03-03 12:13:59
