지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심신적설(cm)
268,진도군,20171102,11.6,,
268,진도군,20171103,11.4,0.9,
268,진도군,20171104,9.9,,
268,진도군,20171105,7.8,,
268,진도군,20171106,9.7,,
268,진도군,20171107,15.3,,
268,진도군,20171108,14.7,0.3,
268,진도군,20171109,10.9,,
268,진도군,20171110,14.7,,
268,진도군,20171111,9.7,,
268,진도군,20171112,7.2,,
268,진도군,20171113,8,,
268,진도군,20171114,10.2,,
268,진도군,20171115,6.9,,
268,진도군,20171117,9.7,1,
268,진도군,20171118,5.1,0.3,
268,진도군,20171119,5.3,,
268,진도군,20171120,5.1,,
268,진도군,20171121,6,,
268,진도군,20171122,9.2,0.1,
268,진도군,20171123,7.4,,
268,진도군,20171124,7.1,0.3,
268,진도군,20171125,7.8,,
268,진도군,20171126,10.3,,
268,진도군,20171127,4.7,,
268,진도군,20171128,9.6,,
268,진도군,20171129,9,,
268,진도군,20171201,1.5,,
268,진도군,20171202,1.9,,
268,진도군,20171203,5.9,,
268,진도군,20171204,4.7,0,
268,진도군,20171205,1.2,3,
268,진도군,20171206,4.2,,
268,진도군,20171207,5.8,0,
268,진도군,20171208,2.7,0.3,
268,진도군,20171209,4.3,,
268,진도군,20171210,7.4,1.5,
268,진도군,20171211,2.2,2.5,
268,진도군,20171212,-1.3,,
268,진도군,20171213,-0.7,,
268,진도군,20171214,-0.3,,
268,진도군,20171215,1.3,,
268,진도군,20171216,2.2,6.5,
268,진도군,20171217,-1,0.5,
268,진도군,20171218,3.7,,
268,진도군,20171219,3.3,,
268,진도군,20171220,2.6,5.5,
268,진도군,20171223,5.9,,
268,진도군,20171224,9,17.5,
268,진도군,20171225,3.8,,
268,진도군,20171226,4.2,,
268,진도군,20171227,0.1,,
268,진도군,20171228,-0.1,,
268,진도군,20171229,3.7,,
268,진도군,20171230,5.6,1.5,
268,진도군,20171231,4.7,0.4,
268,진도군,20180101,2.5,,
268,진도군,20180102,2.3,,
268,진도군,20180103,2.1,,
268,진도군,20180104,0.9,,
268,진도군,20180105,2.6,0.2,
268,진도군,20180106,3.6,,
268,진도군,20180107,4.3,3,
268,진도군,20180108,4.2,6,
268,진도군,20180109,2.5,0.2,
268,진도군,20180110,-0.2,7.5,
268,진도군,20180111,-2.9,5.5,
268,진도군,20180112,-4.2,2,
268,진도군,20180113,-1,,
268,진도군,20180114,3.3,,
268,진도군,20180115,4.7,,
268,진도군,20180116,7,28.5,
268,진도군,20180117,5.6,1.5,
268,진도군,20180118,5.3,,
268,진도군,20180119,2.7,,
